ID,Activity,Time stamp,Feed back
1.0,開始,2022-10-22 22:02:34.615143,
1.0,終了,2022-10-22 22:02:38.871890,
3.0,開始,2022-10-23 09:52:00.954943,
3.0,終了,2022-10-23 11:42:20.656965,データを俯瞰して案を模索した。コラムを見て使えそうだと思ったのは、「検討結果」の可否、「新設」か否か、機器の違いあたり。スループットタイムに二極化が見られたため、時間がかかっている山のボトルネックを見つけたい。 フィルターは全体で5Gとnullを除いた。 プロセスフローセレクションで開始と終了をフィルターした。
5.0,開始,2022-10-23 12:36:37.763031,
5.0,終了,2022-10-23 14:14:22.525306,新設/併設別にボトルネックを把握するためのダッシュボードを作成した。数が多く、スループットタイムも大きいアクティビティもあれば、数が少なく、スループットタイムは大きいアクティビティもあった。 インパクトの大きさを加味すれば前者の対策をすべきだろうが少数でも時間がかかっているアクティビティも対応すべき気もする。ここらへんの注目する視野を養っていきたい。
7.0,開始,2022-10-23 15:00:20.885628,
7.0,休憩,2022-10-23 15:52:47.051074,
7.0,終了,2022-10-23 15:54:05.618796,Rework率を算出しようとしたが、うまくいかなかった。 プロセスエクスプローラーから地道に確認することはできたので、見ると、付帯工事着工に手戻りが確実に発生していることがわかった。
10.0,開始,2022-10-23 17:10:58.215388,
10.0,終了,2022-10-23 17:36:30.686161,reworkの算出方法を模索した。
12.0,開始,2022-10-23 23:36:42.440975,
12.0,終了,2022-10-23 23:44:33.014186,リワーク率の計算に挑戦 新しいセレクションの追加からは見つけられるが、シートに反映できない リファレンスにrework()があったが、イマイチ理解できず
14.0,開始,2022-10-24 12:47:25.153286,
14.0,終了,2022-10-24 13:13:40.543063,リワーク検出に再挑戦 olap tableやテキストにPQLを書けば一応表示されることがわかった。が、何かおかしい気がする
16.0,開始,2022-10-24 13:58:01.233312,
16.0,終了,2022-10-24 15:22:19.241304,ミーティングに参加しました。 スループットタイムや、アクティビティに関する分析結果のフィードバックをいただきました。まだデータをつかみきれてないので、次はリワーク分析を行いながら経験を重ねたいと思います。
18.0,開始,2022-10-25 10:07:09.237220,
18.0,終了,2022-10-25 12:16:18.916799,リワークの検出を04-2を参考に実施しました。 とりあえず同じコードにしてみても結果が同じにならなくて、苦戦しました。 最も多いリワーク率が70％を超えました...
20.0,開始,2022-10-25 13:18:09.216909,
20.0,終了,2022-10-25 14:33:46.722463,リワークについて分析を実施した。 今回でかなり理解が進んだ。縦のつながりを見るプロセスマイニングならではのデータの見方に苦戦したが、かなりコツを掴めたため、以後問題なく進められるような気がする。 手戻り回数、手戻りのあるケース、手戻りに続くアクティビティ、手戻りにいくアクティビティを出すことができるようになった。
22.0,開始,2022-10-25 21:12:22.912523,
22.0,終了,2022-10-25 22:25:53.914251,リワークについてさらなる分析をした。 リワークがあることによる時間の増加の様子をみたかったが、リワークがあることによる時間というものをどこで定義すれば良いか判断がつかなかったため、断念した。 手戻りの中でも同じ工程への手戻りに注目して算出してみた。同じ業務への手戻りばかりというものはなかった。 が、回線申込の工程は他の工程に比べて繰り返し率が高かった。
