ID,Activity,Time stamp,Feed back
1.0,開始,2022-12-05 13:02:22.515249,
1.0,終了,2022-12-05 14:48:48.548129,鈴木さん、森下さんにお話をお伺いしました。 大まかに概要は掴めた気がするので目的を決めて実施してみようと思います
3.0,開始,2022-12-10 07:22:01.477550,
3.0,終了,2022-12-10 08:09:18.208115,Null率・水準数を算出しました。
5.0,開始,2022-12-10 15:49:01.196510,
5.0,終了,2022-12-10 15:59:11.613068,依頼内容の確認
7.0,開始,2022-12-11 13:55:31.243693,
7.0,終了,2022-12-11 15:51:37.337515,機械学習で予測できそうな項目を探しました。データの概要もだいぶつかめていると今回実感しました。
9.0,開始,2022-12-13 20:56:18.430869,
9.0,終了,2022-12-13 22:09:10.688351,機械学習のデータ整形に入りました。目的変数の整形を行いました。
11.0,開始,2022-12-13 22:44:01.667341,
11.0,終了,2022-12-13 23:58:00.399473,使える特徴量を取得しました。欠損値処理を次に行いたいと思います。
13.0,開始,2022-12-17 08:47:33.513210,
13.0,終了,2022-12-17 13:39:11.640392,"一気にデータ取得から予測まで実施しました。 精度がひどいので多重共線性・過学習に気をつけながら精度向上を目指したいと思います。(29%,30%)"
15.0,開始,2022-12-18 10:00:46.863851,
15.0,終了,2022-12-18 11:44:19.270449,精度向上を目的に作業しました。多重共線性のある要素をのいて実施しましたが、なかなか精度は上がりませんでした。次は目的変数を少しいじってみようと思います。
17.0,開始,2022-12-20 13:11:25.774077,
17.0,終了,2022-12-20 17:31:31.760864,精度向上に努めました。オレイリーの機械学習の本を参考にOne-Hot-Encodingを中心に処理し、Ridge回帰を用いたら精度が90%になりました。
19.0,開始,2022-12-22 21:47:26.886094,
19.0,終了,2022-12-22 22:28:51.093934,puran__cを用いないで精度向上を試みました。
21.0,開始,2022-12-27 11:28:37.880510,
21.0,終了,2022-12-27 13:06:14.128854,puran__cを用いないで精度向上を目指しました。欠損処理を忘れて実行したら精度が80%まで上昇しました。最終的に92%まで詰めることができました。
23.0,開始,2022-12-29 20:36:51.376118,
23.0,終了,2022-12-29 21:57:28.270997,lightGBMについて勉強しました。Celonisではimport errorでましたが、解決出来そうです
25.0,開始,2022-12-30 15:41:41.288675,
25.0,終了,2022-12-30 16:34:53.115016,作成したモデルに影響を与えているデータを確認しました。影響度の小さいデータを除いてみたりしました。精度はあまり変わらなかったのでより少ないデータで高精度なモデルにしていきたいです
27.0,開始,2022-12-31 08:49:31.138828,
27.0,終了,2022-12-31 10:21:03.852306,lightgbmの性能評価(可視化)について理解を深めました。また、スタッキングという技術についても導入を検討しました。 モデルの性能が90%と怪しいのでその対処法を模索しました。交差検証を試そうと思います。
