ID,Activity,Time stamp,Feed back
1.0,開始,2022-11-05 12:06:24.165623,
1.0,終了,2022-11-05 13:51:42.611372,体調が良くなりましたので、作業に復帰しました。 エリ検のRework分析を行いました。既存のダッシュボードを参考に、まず状況把握から行いました。確かに2022-8-26にReworkが多く発生していることが確認できました。復習も兼ねて自分でグラフを作成しながらどの属性でみようか検討しています。
3.0,開始,2022-11-07 09:45:12.592759,
3.0,終了,2022-11-07 10:39:21.575184,エリ検分析を行いました。コラム内容を見て関係ありそうなものをピックアップしてみましたがピンとくるものは少なかったです。
5.0,開始,2022-11-08 13:20:09.406954,
5.0,終了,2022-11-08 14:34:53.559759,ダッシュボードの作成をしました。 様々な観点から分析してみました。
7.0,開始,2022-11-13 13:21:07.683854,
7.0,終了,2022-11-13 17:57:06.651960,Root Cause Analysisに挑戦しました。 チュートリアルを一通り実施することである程度仕様は掴めたと思います。 いかにも分析という感じで楽しくコーディングできました。
9.0,開始,2022-11-14 17:55:34.139375,
9.0,終了,2022-11-14 18:02:17.687904,根本原因分析について勉強しました
11.0,開始,2022-11-14 19:04:09.948851,
11.0,終了,2022-11-14 21:06:42.775563,Root Cause Analysisを実施しました。 正解がわからず色々試行錯誤しました。 Case数がある程度落ち着いた結果が出たところで可視化してみましたがデータが多く
13.0,開始,2022-11-14 21:06:49.416737,
13.0,終了,2022-11-14 21:07:22.008841,データが多く、見辛かったため、次は見やすさ改善したいと思います。
15.0,開始,2022-11-14 23:00:03.038003,
15.0,終了,2022-11-14 23:34:59.551205,森下さん、鈴木さんから返答いただいた内容で実施しました。 日付データを取ってくるカラムで結果が大きく変わるためどのコラムを取って来ればいいですか？
17.0,開始,2022-11-15 16:59:07.138747,
17.0,終了,2022-11-15 17:44:36.075292,RCA分析のfilterについてあっているか検証をしました。 あってそうでした
19.0,開始,2022-11-15 20:29:46.446865,
19.0,取り消し,2022-11-15 20:30:11.122584,
21.0,開始,2022-11-15 20:30:27.408740,
21.0,取り消し,2022-11-15 20:30:40.191574,
23.0,開始,2022-11-15 21:12:14.940647,
23.0,取り消し,2022-11-15 21:12:21.261895,
25.0,開始,2022-11-17 00:14:24.015665,
25.0,終了,2022-11-17 01:32:13.348474,資料を作成しました
27.0,開始,2022-11-21 18:19:23.793992,
27.0,終了,2022-11-21 20:16:23.700000,RCA分析を改善しました。鈴木さんに教えていただいたように実装すると良い結果が得られました。RCA分析結果をceloni上で照らし合わせました。
29.0,開始,2022-11-21 20:27:03.610791,
29.0,取り消し,2022-11-21 20:27:07.483121,
29.0,終了,2022-11-21 21:01:35.133703,
32.0,開始,2022-11-22 16:01:25.112997,
32.0,終了,2022-11-22 21:41:12.546601,+αの課題を提示していただく会議を行いました。 コメントの処理の自動化を行いたいと思います
34.0,開始,2022-11-27 11:17:01.978438,
34.0,終了,2022-11-27 16:42:50.151260,日本語化にあたり参照が変わったダッシュボードの修正を行いました。手直しだけでもcelonisの勉強になりました。
36.0,開始,2022-11-28 10:12:34.628929,
36.0,終了,2022-11-28 10:25:30.000496,鈴木さんに対応していただいたことの検証
38.0,開始,2022-11-29 14:21:59.732292,
38.0,終了,2022-11-29 15:06:16.365669,修正しきれなかった部分を修正しました。
