ID,Activity,Time stamp,Feed back
1.0,開始,2022-11-08 18:54:01.292107,
1.0,取り消し,2022-11-08 18:54:07.369556,
3.0,開始,2022-11-10 10:48:42.854309,
3.0,終了,2022-11-10 12:04:19.276360,定例会への参加 エリ検はSAMに問題あったかもしれない...
5.0,開始,2022-11-16 16:35:46.816544,
5.0,終了,2022-11-16 16:46:03.001013,リフト値について理解を深めました
7.0,開始,2022-11-16 20:12:15.661404,
7.0,取り消し,2022-11-16 20:12:22.558132,
9.0,開始,2022-11-17 10:53:01.774613,
9.0,終了,2022-11-17 12:07:05.089130,定例会に参加しました
11.0,開始,2022-11-22 22:39:21.477951,
11.0,終了,2022-11-23 00:17:03.352005,コメント処理の自動化コードを噛み砕きました 内容は理解できましたが、実装に苦戦しそうです。
13.0,開始,2022-11-23 13:47:14.863848,
13.0,終了,2022-11-23 14:52:58.133096,コメント処理のプログラムを作成しました。 動くようにはなったので次はデータをプッシュする部分を作成しようと思います。
15.0,開始,2022-11-23 15:31:15.763880,
15.0,終了,2022-11-23 16:18:26.553840,情野さんと協力してコメント処理のコードを書きました。 
17.0,開始,2022-11-23 23:37:26.748824,
17.0,取り消し,2022-11-23 23:38:30.643696,
19.0,開始,2022-11-24 10:59:14.523334,
19.0,終了,2022-11-24 12:00:47.154657,定例会に参加しました。
